nombre,direccion,latitud,longitud,numero_copas,numero_taza,numero_cubiertos,tipo
RAMON'S BAR,AV. FLAVIO REYES S/N AV. 22,-0.948758,-80.7306795,1,0,0,Bar
DELICIAS MANABITAS,C.10 Y AV.24 ESQ.,-0.9785158,-80.8412529,0,1,0,Cafetería
CAMOTILLO #2 EL ,"MALECON TARQUI, PARQUE DEL MARISCO",-0.9423709,-80.7305385,0,0,1,Restaurante
RESTAURANTE EL MESIAS,PLAYITA MIA ,-0.9484284,-80.7381095,0,0,1,Restaurante
DELFIN EL,Av.15 e/C 12 y 13,-1.0682479,-80.8701263,0,0,2,Restaurante
TUNA-BAR,CALLE 118 Y AVDA. 104,-0.9451759,-80.731148,0,0,1,Restaurante
RESTAURANTE LA SAZON DE PATY,AV. LA CULTURA ,-0.9620577,-80.7048954,0,0,2,Restaurante
SIRENA DEL MAR,MALECON TARQUI PARQUE DEL MARISCO,-0.9772473,-80.6831803,0,0,1,Restaurante
SEÑOR CAMARON EL ,MALECON DE TARQUI PARQUE DEL MARISCO,-0.9423709,-80.7305385,0,0,1,Restaurante
DESCANSO DEL SURFISTA  EL ,MALECON ESCENICO LOCAL # 5,-1.0682479,-80.8701263,0,0,2,Restaurante
FAISAN EL,VIA SAN MATEO CALLE 12 S/N MANTA,-1.0682479,-80.8701263,0,1,0,Cafetería
CHAU LAO,AV. FLAVIO REYES Y CALLE 20,-0.960042,-80.6891468,0,0,2,Restaurante
FOGON B.B.Q. MANTA EL ,EDIFICIO GONZALES CALLE 16 Y AV 6 ESQUINA,-1.0682479,-80.8701263,0,1,0,Cafetería
CAMOTILLO #1 EL ,Malecon de Tarqui parque del marisco,-0.9423709,-80.7305385,0,0,2,Restaurante
DELICIAS DEL MAR,VIA PUERTO AEROPUERTO PLAYA TARQUI,-1.0684461,-80.9075828,0,0,1,Restaurante
CAVAE FOOD,BARBASQUILLO VIA A SAN MATEO,-0.9492595,-80.7315661,0,1,0,Cafetería
MI RANCHO,VIA A SAN LORENZO,-0.9835913,-80.8450832,0,0,1,Restaurante
CAFELITO HOUSE,CALLE 33 S/N AV. FLAVIO REYES,-0.949891,-80.7520125,0,1,0,Cafetería
DULCE Y FÍO ,MALECON JAIME CHAVEZ,-0.9504589,-80.7357092,0,1,0,Cafetería
FOGATA DORADA LA,CALLE 16 AV. 15 ,-0.9620577,-80.7048954,0,0,2,Restaurante
CHAMO EL,PLAYITA MIA,-1.0682479,-80.8701263,0,0,1,Restaurante
CHAMO EL,PLAYITA MIA,-1.0682479,-80.8701263,0,0,1,Restaurante
BAR RESTAURANT BROOKLYN,PIEDRA LARGA,-0.9451759,-80.731148,0,0,2,Restaurante
 RESTAURANTE RINCON MARINERO #2,MALECON ESENICO MURCIELAGO,-1.0687407,-80.9072669,0,0,2,Restaurante
RINCON MARINERO EL ,MALECON ESCENICO LOCAL # 2,-0.9423709,-80.7305385,0,0,2,Restaurante
RINCON MARINERO 2 EL,MALECON ESCENICO LOCAL # 14,-0.9423709,-80.7305385,0,0,2,Restaurante
BAR KARAOKE THE SONRISE,AV. 24 Y CALLE 17 ,-0.9451759,-80.731148,1,0,0,Bar
STRAGOS BAR,AV. FLAVIO REYES Y AV. 17,-0.9763138,-80.8397397,2,0,0,Bar
PORTAL DE FANNY EL ,AV.7 Y C.8 Y 9,-0.9830146,-80.7062028,0,1,0,Cafetería
LOCO BAR,AV. FLAVIO REYES Y AV. 17,-0.9451759,-80.731148,0,1,0,Cafetería
KRAKATOA,AV.114 Y CALLE 107 ESQ.,-0.9582564,-80.7132625,0,0,3,Restaurante
EL ESPECIAL PICANTERIA MANTA,"AV. U 2,CALLE U 9",-0.9460512,-80.7451867,0,0,1,Restaurante
RAPIDOS FOOD M. BELEN,CIUDADELA LA AURORA,-0.951563,-80.7459812,0,1,0,Cafetería
EL NUESTRO BAR,VIA BARBASQUILLO LOCAL 22 PLAZA DEL SOL,-0.956953,-80.746195,1,0,0,Bar
ESQUINA DISCOTECA,AV.FLAVIO REYES Y C.12,-0.9830146,-80.7062028,2,0,0,Bar
ESQUINA DISCOTECA,AV.FLAVIO REYES Y C.12,-0.9830146,-80.7062028,2,0,0,Bar
ESQUINA DISCOTECA,AV.FLAVIO REYES Y C.12,-0.9830146,-80.7062028,1,0,0,Discoteca
SAZON DE WILSON LA,AV. 4 DE NOVIEMBRE JUNTO A NANY'S ,-0.9620577,-80.7048954,0,0,1,Restaurante
CERVECERIA UMIÑA,av de la cultura s/n av de la cultura,-0.9463591,-80.7391286,0,0,0,Establecimiento móvil
PK2'S,AV. 24 CALLE 17 ESQUINA BAJO DEL HOTEL ORO Y MAR,-0.948758,-80.7306795,1,0,0,Bar
PK2'S,AV. 24 CALLE 17 ESQUINA BAJO DEL HOTEL ORO Y MAR,-0.948758,-80.7306795,1,0,0,Bar
RESTAURANT BRISAS DEL MAR,PLAYITA MIA,-0.9788634,-80.8415203,0,0,1,Restaurante
BAR LA PARRANDA,"AV. FLAVIO REYES,CALLE 22",-0.9620577,-80.7048954,1,0,0,Bar
UMIÑA SUSHI COMIDA FUSION,CALLE U10 S/N AV. UNIVERSITARIA 2,-0.946798,-80.7466931,0,0,1,Restaurante
EL PATRON ONE,AV 24 S/N 17,-0.956953,-80.746195,1,0,0,Bar
CHIFA LAI #2,LOS ESTEROS CALLE 121 Y AV. 103 Y 104,-0.9447054,-80.7328436,0,0,2,Restaurante
RICA PIZZA LOUNGE,AV.15 Y C.14 ESQ.,-0.9420162,-80.7322805,0,0,2,Restaurante
DELICIAS DEL SABOR LAS ,PRADERA #2 MZ- ELT.21,-0.9788634,-80.8415203,0,1,0,Cafetería
SHOT BAR,BAJOS DEL EDIFICIO TORRE DEL SOL LOCAL C-5,-0.9451759,-80.731148,2,0,0,Bar
CEVICHERIA PICARDIAS DEL MAR,CALLES 123 Y AV.114 ESQUINA,-0.9505246,-80.7122854,0,0,1,Restaurante
PALMERAS LAS ,CALLE 23 AV. ME PERPETUO SOCORRO,-0.9550569,-80.746042,0,0,2,Restaurante
COMEDOR LA MADRINA 2,PLAYITA MIA LOCAL# 13,-0.9620577,-80.7048954,0,0,1,Restaurante
RESTAURANTE CHE PEPE,AV. 14 S/N CALLE 13 Y 14,-0.9484284,-80.7381095,0,0,1,Restaurante
CAFE DON JOSE,C.C. MANICENTRO LOCAL #2,-0.9756131,-80.8391147,0,1,0,Cafetería
CAFE DON JOSE,C.C. MANICENTRO LOCAL #2,-0.9756131,-80.8391147,0,1,0,Cafetería
LA NOVIA DEL TORO,24 y 25 001 m1,-0.9620577,-80.7048954,0,0,1,Restaurante
MUYA COCINA - FAMILIA,"U 8,AV. U 3",-0.9480443,-80.7459534,0,0,1,Restaurante
HOLLIWOOD PIZZA,BARRIO MARIA AUXILIADORA,-0.9420162,-80.7322805,0,0,1,Restaurante
DELI MARKET,CALLE 14 AV. 6 Y 7,-0.9455847,-80.7250078,0,1,0,Cafetería
QDQ BAR,Av Flavio Reyes Av 22 Av 22,-0.9451759,-80.731148,1,0,0,Bar
BAR EL PADRINO,Avenida flavio reyes 1313 Calle 26,-0.956953,-80.746195,1,0,0,Bar
BAR KARAOKE Y RESTAURANTE COPAS DE MAR,BARRIO ALTAMIRA C.10 DE AGOSTO,-0.9859804,-80.8484162,2,0,0,Bar
KARAOKE DE JAVU,FLAVIO REYES Y AV.18,-0.9830146,-80.7062028,2,0,0,Bar
MINI MARKET SAN CARLOS,VIA MANTA JARAMIJO - GASOLINERA PRIMAX AEROPUERTO,44.6219046,7.4913368,0,1,0,Cafetería
A LA PARRILLA,AV. 24 CALLE 9,-0.9528241,-80.7341829,0,0,2,Restaurante
ALE'S GRILL RESTAURANT,CALLE U9 SN AV. U2,-0.9451759,-80.731148,0,0,1,Restaurante
BAR RESTAURANTE LINCANTO,"AV.24,CALLE 17",-0.9451759,-80.731148,1,0,0,Bar
BAR RESTAURANTE LINCANTO,"AV.24,CALLE 17",-0.9451759,-80.731148,0,0,1,Restaurante
GINO Y JACQUI,VIA BARBASQUILLO,-0.9504589,-80.7357092,0,0,2,Restaurante
CHIFA LAI #3,AV. UNIVERSITARIA FRENTE A CABALLO DE TROYA,-0.9447054,-80.7328436,0,0,3,Restaurante
SHAWARMAN EXPRESS,CALLE 25 AV. 35,-0.9474423,-80.7392855,0,1,0,Cafetería
CEVICHERIA FLIPPLER # 3,LOS ALMENDROS CALLE S/N Y AV. 24,-0.9463591,-80.7391286,0,0,2,Restaurante
LENGUADO EL,PARQUE DEL MARISCO,-1.0691138,-80.9071636,0,0,1,Restaurante
SENSATION LOUNGE BAR,Av Flavio reyes  20 22,-0.9451759,-80.731148,2,0,0,Bar
EL POINT BAR,VIA A BARBASQUILLO S/N VIA A SAN MATEO,-1.0691138,-80.9071636,1,0,0,Bar
BAR EL PADRINO,AV. FLAVIO REYES Y CALLE 26,-0.956953,-80.746195,2,0,0,Bar
C-ÑOR MARISCO,PRINCIPAL SN CDLA LOS ELECTRICOS,-0.9505246,-80.7122854,0,0,2,Restaurante
PARADISO BAR KARAOKE DISCOTECA LOUNGE,C.20 Y AV.22Y23,-0.9451759,-80.731148,2,0,0,Bar
PLAYA BONITA,VIA A SAN MATEO PARROQUIA SANTA MARIANITA,-0.9773342,-80.8404833,0,0,1,Restaurante
RESTAURANT ARRECIFE MAR Y TIERRA,AVENIDA FLAVIO REYES  S/N 17,-0.9859804,-80.8484162,0,0,2,Restaurante
RESTAURANT ARRECIFE MAR Y TIERRA,AVENIDA FLAVIO REYES  S/N 17,-0.9859804,-80.8484162,0,0,2,Restaurante
SHAWARMAN EXPRESS,CALLE 18 BARRIO CORDOVA,-0.9474423,-80.7392855,0,1,0,Cafetería
TITTUS PIZZA REV,VIA BARBASQUILLO CIUDADELA ULEAM LOTES 7 Y 8,-0.9420162,-80.7322805,0,0,1,Restaurante
DON CHANCHO,AVDA. 2 E/CALLES 9 Y 10,-0.9756131,-80.8391147,0,1,0,Cafetería
MAIDO RESTAURANT,"VIA BARBASQUILLO,FRENTE A REDONDEL",-0.9467087,-80.7474503,0,0,2,Restaurante
CAFETERIA EN BOCA DE TODOS,C.14 AV. 6,-0.9463147,-80.7340323,0,1,0,Cafetería
RESTAURANT FRUTOS DEL MAR,C.20 EL MURCIELAGO,-1.0684461,-80.9075828,0,0,3,Restaurante
NOA BAR GRILL,AV.FLAVIO REYES E/CALLES,-0.9451759,-80.731148,2,0,0,Bar
PARRILLADAS EL PROGRESO,Ave 16 Ave 16  calle 13 y 14,-1.0682479,-80.8701263,0,0,1,Restaurante
PIZZA SUPER EXPRES,CDLA. EL PALMAR MAZ.D-10 VILLA 4,-0.9420162,-80.7322805,0,1,0,Cafetería
MABEL CARNES Y MARISCOS,UNIÑA 2 Mz-HL#1.2,-0.9859804,-80.8484162,0,0,4,Restaurante
COME Y BEBE CHUPICANTERIA,,-0.9859804,-80.8484162,1,0,0,Bar
VENTA DE COMIDA RAPIDA,LA PAZ CALLE 297 S/N,-0.9463147,-80.7340323,0,1,0,Cafetería
DON WILLY 2,SANTA MARIANITA,-0.9756131,-80.8391147,0,0,2,Restaurante
OH MAR,MALECON ESCENICO,-1.0684461,-80.9075828,0,0,3,Restaurante
CAFETERIA VERDE Y CAFE,"AV FLAVIO REYES,AV. 22",-0.944937,-80.733312,0,1,0,Cafetería
RINCON DE MI CASA EL ,VIA A SAN MATEO,-0.9450054,-80.7315193,0,1,0,Cafetería
TONGA Y BOLLOS,EL LUBO SAN LORENZO,-0.9504589,-80.7357092,0,0,2,Restaurante
AHOGAR LAS PENAS,C.C.  PLAZA DEL SOL,-0.9785158,-80.8412529,1,0,0,Discoteca
RESTAURANTE LAS VELAS,"U 4,VIA BARBASQUILLO",-0.9484284,-80.7381095,0,0,3,Restaurante
EL CRUSTACEO CASCARUDO,C.12 AV.20,-1.0682479,-80.8701263,0,0,3,Restaurante
CASA ROSADA,12 0 1,-0.9463455,-80.7224879,0,0,4,Restaurante
CAFETERIA LA CRIOLLITA,AV. 10 Y CALLE 12 Y 13,-0.9620577,-80.7048954,0,1,0,Cafetería
FH CEVICHERIA GUAYACA MANTA,Av. Umiña 1 s/n Calle Umiña 4,-0.9463591,-80.7391286,0,0,1,Restaurante
MARTINICA,Av. Flavio Reyes .Ciudadela Umiña II lote 1 Umiña 4,-0.9460512,-80.7451867,0,0,4,Restaurante
LA BRICIOLA,UMINA 2 S/N VIA A BARBASQUILLO,44.611637,7.4833039,0,0,5,Restaurante
GO GREEN,LA QUADRA LOCAL 39 AV BARBASQUILLO,-0.9578673,-80.748542,0,0,2,Restaurante
LOS MOTES DE LA MAGDALENA ,JAIME CHAVEZ GUTIERREZ MALECÓN  MALL DEL PACIFICO,-0.9620577,-80.7048954,0,0,1,Restaurante
KIOSKO ALEMAN EL ,BARRIO UMIÑA CALLE 26 S/N,-0.9423709,-80.7305385,0,1,0,Cafetería
PARQUE EL,UMIÑA 2  MZ 2  EL-03 FRENTE A HOSTAL VERZOI,-0.9505246,-80.7122854,0,0,3,Restaurante
SADA BAR BAMU,SANTA MARIANITA,-1.0653198,-80.9087231,0,1,0,Cafetería
SODA BAR BAMBU,PARROQUIA SANTA MARIANITA   (PLAYA BONITA),-1.0653198,-80.9087231,0,1,0,Cafetería
COTE D´AZUR LA ,MALECON ESCENICO LOCAL #20,-0.9528241,-80.7341829,0,0,1,Restaurante
PLAZA BAR,PLAZA DEL SOL VIA BARBASQUILLO,-0.9763138,-80.8397397,1,0,0,Bar
 SANDUCHES D' CHANCHO DIBOCCA,AVDA. 2 E/CALLES 9 Y 10 No. 941,-0.959745,-80.715745,0,1,0,Cafetería
YAIMAR,SANTA MARIANITA,-0.9857553,-80.8480648,0,0,1,Restaurante
VIKINGOS FAST FOOD,PLAZA BEACH LOCAL 15,-0.951563,-80.7459812,0,1,0,Cafetería
BACANA BAR,AV FLAVIO REYES S/N CALLE 20,-0.9763138,-80.8397397,1,0,0,Bar
BAR KARAOKE SUAVECITO,AV.FLAVIO REYES Y AV. 21,-0.9451759,-80.731148,2,0,0,Bar
LOS ASADOS DE LA 108,"AV. 108,CALLE 117 Y 118",-0.9620577,-80.7048954,0,0,3,Restaurante
SANDUCHES Y SNACKS,VIA PUERTO AEREO PUERTO GASOLINERA,-0.9471362,-80.7296361,0,1,0,Cafetería
DISCO BAR KARAOKE FRIENDS 24,AV.24 Y C. 10 DE AGOSTO,-0.9451759,-80.731148,2,0,0,Bar
RESERO RINCON ARGENTINO EL ,SECTOR VIA SAN MATEO SECTOR BARABASQUILLO MADIA CUADRA DEL NUEVO COLISEO,-1.0682479,-80.8701263,0,0,3,Restaurante
RESERO RINCON ARGENTINO EL ,SECTOR VIA SAN MATEO SECTOR BARABASQUILLO MADIA CUADRA DEL NUEVO COLISEO,-1.0682479,-80.8701263,0,0,4,Restaurante
AREPA QUESUDA Y CHORIZO INFIEL,"AV. 20,17 Y AV. FLAVIO REYES",-0.9859804,-80.8484162,0,1,0,Cafetería
