name,cuisine,addr:street,@lat,@lon
LA MURALLA CHINA,chinese,,-0.9485163,-80.726639
LA COMISARÍA,,,-0.9452568,-80.7525455
EL FARO,,,-0.9423709,-80.7305385
SOUTH INDIAN RESTAURANT,indian,,-0.9466923,-80.7442908
LA TABLITA DEL TÁRTARO,,,-0.9422414,-80.7330797
SHAWARMA EXPRESS D'JAVI,,,-0.9474423,-80.7392855
EL CACIQUE DE LIGÜIQUI,seafood,,-1.0253889,-80.881672
EL PULPO,seafood,,-1.0254323,-80.8816889
CABAÑA LAS BANDEJAS MARINERAS,seafood,,-1.0253425,-80.8816538
CEVICHERÍA NINA,seafood,,-0.9474388,-80.7223641
COMEDOR RINCÓN DE PUCHY,,,-0.9506714,-80.7462665
LAS CABAÑAS,,,-0.9493276,-80.7461076
PALMEIRAS,,,-0.9458448,-80.7380223
CHIFA LAI,asian,,-0.9447054,-80.7328436
CHAU LAO,asian,,-0.9447594,-80.7321972
EL RINCÓN CRIOLLO,,,-0.9447739,-80.7318919
PICANTERÍA Y CEVICHERÍA WILLY,seafood,,-0.9471362,-80.7296361
COMEDOR EL ÑATO,,,-0.9563681,-80.7453757
PREMIUM MEATS,,,-0.9569222,-80.7554325
MAR HAMBU STEAK HOUSE,steak_house,,-0.949891,-80.7520125
NAO RESTAURANTE,,,-0.9467087,-80.7474503
CANALLA,,,-0.9467128,-80.7470966
LA CEVICHERÍA,seafood,,-0.9467027,-80.7471767
LA BUONA CUCINA DI LUCIANO,italian,,-0.9466932,-80.7472522
UMIÑA SUSHI,sushi,,-0.946798,-80.7466931
BARBASQUILLO,,,-0.9468109,-80.7465361
LAS VELAS GRILL GOURMET,,,-0.9456656,-80.743149
COMO EN CASA,,,-0.9464033,-80.7336962
LA CASA DEL CHOCLO,regional,,-0.9488215,-80.7319073
PROTEIN FOOD VIDA SANA,,,-0.9492595,-80.7315661
EL HORNO,,,-0.9504192,-80.74191
TASTY FOOD 3,,,-0.951563,-80.7459812
TASTY FOOD 1,regional,,-0.95312,-80.7472031
TASTY FOOD 4,,,-0.9499445,-80.7452006
