name	cuisine	addr:street	@lat	@lon
El Rincón Criollo			-0.9447739	-80.7318919
Picantería y Cevichería Willy	seafood		-0.9471362	-80.7296361
Comedor El Ñato			-0.9563681	-80.7453757
Premium Meats			-0.9569222	-80.7554325
Mar Hambu Steak House	steak_house		-0.9498910	-80.7520125
Nao Restaurante			-0.9467087	-80.7474503
Canalla			-0.9467128	-80.7470966
La Cevichería	seafood		-0.9467027	-80.7471767
La buona cucina di Luciano	italian		-0.9466932	-80.7472522
Umiña Sushi	sushi		-0.9467980	-80.7466931
Barbasquillo			-0.9468109	-80.7465361
Las Velas Grill Gourmet			-0.9456656	-80.7431490
Como en Casa			-0.9464033	-80.7336962
La Casa del Choclo	regional		-0.9488215	-80.7319073
Protein Food Vida Sana			-0.9492595	-80.7315661
El Horno			-0.9504192	-80.7419100
Tasty Food 3			-0.9515630	-80.7459812
Tasty Food 1	regional		-0.9531200	-80.7472031
Tasty Food 4			-0.9499445	-80.7452006
